,,Hybrid,Backbone,Victim
AlexNet,C10,8.62%,5.85%,10.15%
AlexNet,C100,18.94%,8.37%,27.31%
AlexNet,S10,6.29%,5.59%,16.43%
AlexNet,UTK,2.62%,3.79%,14.29%
ResNet18,C10,14.99%,11.72%,10.35%
ResNet18,C100,25.97%,29.87%,25.32%
ResNet18,S10,10.75%,10.45%,11.34%
ResNet18,UTK,1.49%,5.07%,4.18%
ResNet34,C10,9.12%,8.26%,9.4%
ResNet34,C100,26.73%,28.62%,26.73%
ResNet34,S10,7.88%,8.79%,8.79%
ResNet34,UTK,2.08%,3.26%,3.86%
VGG16_BN,C10,10.48%,10.48%,22.95%
VGG16_BN,C100,21.2%,16.96%,24.73%
VGG16_BN,S10,14.91%,15.79%,39.18%
VGG16_BN,UTK,8.05%,10.06%,9.2%
VGG19_BN,C10,7.78%,10.83%,15.56%
VGG19_BN,C100,21.79%,14.64%,27.14%
VGG19_BN,S10,12.72%,11.85%,36.13%
VGG19_BN,UTK,7.14%,10.57%,12.0%
