,,Hybrid,Backbone,Victim
AlexNet,C10,19.84%,19.33%,24.37%
AlexNet,C100,9.47%,14.99%,13.42%
AlexNet,S10,23.5%,30.68%,17.69%
AlexNet,UTK,53.45%,51.32%,47.46%
ResNet18,C10,31.72%,25.6%,17.64%
ResNet18,C100,11.21%,19.26%,7.77%
ResNet18,S10,29.27%,32.56%,32.67%
ResNet18,UTK,53.45%,50.95%,52.36%
ResNet34,C10,26.54%,23.72%,26.05%
ResNet34,C100,10.97%,17.07%,20.71%
ResNet34,S10,35.46%,31.82%,41.99%
ResNet34,UTK,47.09%,50.5%,50.95%
VGG16_BN,C10,31.11%,25.68%,20.32%
VGG16_BN,C100,10.13%,18.73%,6.41%
VGG16_BN,S10,33.58%,31.99%,32.25%
VGG16_BN,UTK,48.86%,53.36%,52.0%
VGG19_BN,C10,24.08%,25.52%,22.1%
VGG19_BN,C100,12.02%,18.5%,15.01%
VGG19_BN,S10,35.4%,32.05%,37.2%
VGG19_BN,UTK,44.87%,50.95%,49.18%
