,,White-box,DarkneTZ,Serdab,Magnitude,SOTER,ShadowNet,Ours,Black-box
AlexNet,C10,98.77%,99.08%,66.21%,83.38%,99.05%,100.0%,10.15%,10.0%
AlexNet,C100,99.12%,95.15%,59.61%,92.95%,99.16%,100.0%,27.31%,24.89%
AlexNet,S10,100.0%,100.0%,81.06%,100.0%,58.45%,100.0%,16.43%,13.12%
AlexNet,UTK,100.0%,100.0%,87.97%,100.0%,92.71%,100.0%,13.11%,9.33%
ResNet18,C10,100.0%,100.0%,96.14%,99.73%,99.73%,100.0%,10.35%,9.12%
ResNet18,C100,100.0%,99.68%,88.49%,100.0%,100.0%,100.0%,25.32%,25.98%
ResNet18,S10,100.0%,100.0%,91.6%,99.7%,100.0%,100.0%,11.64%,10.45%
ResNet18,UTK,100.0%,99.1%,91.78%,81.79%,100.0%,100.0%,3.88%,11.04%
ResNet34,C10,100.0%,100.0%,31.5%,6.27%,100.0%,100.0%,9.69%,10.68%
ResNet34,C100,100.0%,100.0%,84.01%,98.43%,100.0%,100.0%,26.73%,23.74%
ResNet34,S10,100.0%,100.0%,90.08%,98.48%,100.0%,100.0%,8.48%,8.48%
ResNet34,UTK,100.0%,100.0%,80.84%,8.9%,100.0%,100.0%,5.93%,4.15%
VGG16_BN,C10,100.0%,100.0%,95.7%,100.0%,100.0%,100.0%,22.94%,16.57%
VGG16_BN,C100,100.0%,100.0%,88.96%,97.88%,98.98%,99.66%,24.73%,25.8%
VGG16_BN,S10,100.0%,100.0%,97.22%,100.0%,100.0%,100.0%,40.058%,22.22%
VGG16_BN,UTK,100.0%,100.0%,96.55%,100.0%,100.0%,100.0%,10.63%,7.18%
VGG19_BN,C10,100.0%,100.0%,89.55%,100.0%,100.0%,100.0%,16.39%,12.08%
VGG19_BN,C100,100.0%,100.0%,85.46%,99.29%,97.59%,100.0%,27.14%,26.96%
VGG19_BN,S10,100.0%,100.0%,94.96%,100.0%,100.0%,100.0%,34.97%,27.46%
VGG19_BN,UTK,100.0%,100.0%,94.01%,100.0%,100.0%,100.0%,10.86%,7.86%
