,,White-box,DarkneTZ,Serdab,Magnitude,SOTER,ShadowNet,Ours,Black-box
AlexNet,C10,23.76%,20.46%,22.97%,13.49%,22.88%,23.0%,0%,0%
AlexNet,C100,54.04%,39.52%,52.76%,53.31%,39.53%,54.0%,0%,0%
AlexNet,S10,29.2%,29.1%,29.7%,30.69%,29.68%,29.0%,0%,0%
AlexNet,UTK,16.4%,16.5%,14.68%,14.93%,14.24%,16.0%,0%,0%
ResNet18,C10,16.35%,19.43%,17.21%,15.9%,13.89%,16.0%,0%,0%
ResNet18,C100,44.68%,49.33%,45.16%,39.82%,43.73%,44.0%,0%,0%
ResNet18,S10,24.45%,27.61%,24.51%,25.98%,24.75%,24.0%,0%,0%
ResNet18,UTK,13.68%,13.55%,14.51%,12.59%,7.58%,13.0%,0%,0%
ResNet34,C10,16.15%,17.78%,16.98%,15.67%,3.43%,15.0%,0%,0%
ResNet34,C100,41.44%,45.36%,41.98%,38.95%,44.24%,41.0%,0%,0%
ResNet34,S10,22.13%,25.3%,23.71%,23.44%,26.71%,22.0%,0%,0%
ResNet34,UTK,13.07%,14.27%,13.37%,12.28%,10.1%,13.0%,0%,0%
VGG16_BN,C10,8.54%,10.99%,8.71%,12.57%,10.92%,8.0%,0%,0%
VGG16_BN,C100,36.08%,41.98%,36.16%,36.04%,5.79%,35.0%,0%,0%
VGG16_BN,S10,13.01%,18.4%,13.11%,15.89%,18.3%,13.0%,0%,0%
VGG16_BN,UTK,11.29%,13.17%,11.61%,12.87%,9.63%,12.0%,0%,0%
VGG19_BN,C10,10.16%,11.61%,11.32%,11.48%,13.03%,10.0%,0%,0%
VGG19_BN,C100,34.69%,38.14%,35.2%,36.98%,11.07%,34.0%,0%,0%
VGG19_BN,S10,15.06%,19.28%,16.11%,17.94%,20.82%,15.0%,0%,0%
VGG19_BN,UTK,12.13%,13.18%,12.54%,13.3%,13.08%,12.0%,0%,0%
