model,dataset,White-box,DarkneTZ,Serdab,Magnitude,SOTER,ShadowNet,Ours,Black-box
AlexNet,C10,99.95%,83.62%,66.21%,69.34%,83.94%,100.0%,24.37%,24.81%
AlexNet,C100,96.69%,52.47%,59.61%,61.39%,66.98%,100.0%,13.42%,11.72%
AlexNet,S10,99.16%,89.84%,81.06%,88.61%,39.91%,64.75%,17.7%,15.99%
AlexNet,UTK,99.82%,95.64%,87.97%,92.78%,60.17%,77.38%,50.45%,49.36%
ResNet18,C10,99.72%,88.97%,96.14%,91.14%,93.93%,98.24%,17.64%,20.16%
ResNet18,C100,95.4%,75.72%,88.49%,81.29%,86.92%,92.42%,7.77%,15.49%
ResNet18,S10,99.51%,93.1%,91.6%,80.06%,84.04%,97.2%,32.6625%,21.46%
ResNet18,UTK,96.96%,92.51%,91.78%,67.3%,77.79%,95.73%,46.54%,46.55%
ResNet34,C10,99.57%,89.17%,31.5%,14.18%,93.72%,97.26%,26.68%,11.78%
ResNet34,C100,95.23%,81.16%,84.01%,80.66%,89.59%,91.59%,20.71%,17.7%
ResNet34,S10,98.61%,93.83%,90.08%,72.88%,85.49%,98.36%,42.11%,20.99%
ResNet34,UTK,98.82%,95.23%,80.84%,44.96%,92.19%,96.39%,46.91%,45.23%
VGG16_BN,C10,98.34%,91.62%,95.7%,89.87%,83.16%,97.18%,20.32%,14.93%
VGG16_BN,C100,93.92%,73.45%,88.96%,78.4%,73.52%,89.5%,6.41%,11.38%
VGG16_BN,S10,99.49%,96.4%,97.22%,86.81%,92.97%,97.29%,32.2125%,19.31%
VGG16_BN,UTK,98.5%,94.96%,96.55%,92.73%,91.01%,96.82%,51.27%,46.5%
VGG19_BN,C10,99.14%,93.99%,89.55%,83.51%,89.6%,96.38%,22.11%,10.75%
VGG19_BN,C100,93.43%,76.06%,85.46%,77.17%,75.64%,96.27%,15.01%,10.66%
VGG19_BN,S10,99.5%,97.39%,94.96%,88.61%,93.11%,98.86%,37.2%,19.55%
VGG19_BN,UTK,97.68%,96.19%,94.01%,95.0%,94.91%,95.84%,48.68%,43.98%
