,,White-box,DarkneTZ,Serdab,Magnitude,SOTER,ShadowNet,Ours,Black-box
AlexNet,C10,67.25%,57.67%,62.96%,52.67%,62.18%,69.43%,50.0%,50.0%
AlexNet,C100,78.32%,63.27%,72.2%,71.31%,63.39%,81.23%,50.0%,50.0%
AlexNet,S10,64.77%,58.49%,61.51%,66.26%,59.72%,65.57%,50.0%,50.0%
AlexNet,UTK,62.97%,55.84%,55.43%,56.28%,55.52%,63.53%,50.0%,50.0%
ResNet18,C10,68.98%,65.01%,66.59%,59.12%,52.67%,69.53%,50.0%,50.0%
ResNet18,C100,82.64%,81.1%,82.92%,67.55%,76.31%,83.73%,50.0%,50.0%
ResNet18,S10,76.09%,65.98%,74.22%,64.29%,59.85%,74.83%,50.0%,50.0%
ResNet18,UTK,62.87%,56.33%,59.25%,54.53%,51.69%,63.62%,50.0%,50.0%
ResNet34,C10,67.72%,61.19%,56.41%,55.68%,50.16%,68.74%,50.0%,50.0%
ResNet34,C100,65.56%,67.78%,66.06%,67.29%,66.84%,65.63%,50.0%,50.0%
ResNet34,S10,72.03%,63.85%,69.4%,64.95%,63.42%,72.52%,50.0%,50.0%
ResNet34,UTK,61.33%,56.8%,56.91%,55.93%,52.92%,62.85%,50.0%,50.0%
VGG16_BN,C10,62.29%,64.03%,62.44%,58.63%,55.2%,62.14%,50.0%,50.0%
VGG16_BN,C100,81.22%,78.63%,81.34%,71.25%,50.1%,81.13%,50.0%,50.0%
VGG16_BN,S10,66.08%,68.2%,66.2%,66.97%,58.22%,65.85%,50.0%,50.0%
VGG16_BN,UTK,58.73%,52.79%,58.48%,58.93%,50.0%,59.17%,50.0%,50.0%
VGG19_BN,C10,63.57%,62.28%,62.52%,60.74%,63.15%,63.94%,50.0%,50.0%
VGG19_BN,C100,77.94%,77.58%,78.22%,72.91%,52.53%,78.16%,50.0%,50.0%
VGG19_BN,S10,66.35%,63.14%,66.62%,67.25%,58.06%,66.17%,50.0%,50.0%
VGG19_BN,UTK,61.5%,59.27%,60.28%,54.55%,54.13%,61.74%,50.0%,50.0%
